taskid,score
d631b094,3
d687bc17,3
d6ad076f,3
d89b689b,3
d8c310e9,-1
d90796e8,-1
d931c21c,-1
d94c3b52,-1
d9f24cd1,-1
d9fac9be,3
da2b0fe3,3
da515329,-1
dae9d2b5,3
db3e9e38,3
db93a21d,-1
dbc1a6ce,3
dc0a314f,-1
dc1df850,3
dc2aa30b,-1
dc2e9a9d,-1
dc433765,3
dd2401ed,-1
ddf7fa4f,33
de1cd16c,3
de493100,-1
ded97339,3
df8cc377,-1
e0fb7511,3
e133d23d,3
e179c5f4,-1
e1baa8a4,3
e1d2900e,-1
e2092e0c,-1
e21a174a,-1
e21d9049,3
e26a3af2,-1
e345f17b,3
e3497940,3
e4075551,-1
e40b9e2f,-1
e41c6fd3,3
e48d4e1a,-1
e5062a87,-1
e509e548,-1
e50d258f,-1
e57337a4,4
e5790162,-1
e5c44e8f,-1
e619ca6e,-1
e633a9e5,3
e66aafb8,-1
e6721834,-1
e681b708,-1
e69241bd,3
e6de6e8f,-1
e73095fd,-1
e74e1818,3
e760a62e,-1
e7639916,3
e76a88a6,-1
e78887d1,-1
e7a25a18,3
e7b06bea,-1
e7dd8335,3
e8593010,3
e872b94a,3
e88171ec,-1
e8dc4411,-1
e95e3d8e,3
e9614598,-1
e98196ab,3
e99362f0,4
e9ac8c9e,-1
e9afcf9a,3
e9b4f6fc,-1
e9bb6954,-1
e9c9d9a1,3
ea32f347,-1
ea786f4a,3
ea959feb,3
ea9794b1,3
eb281b96,3
eb5a1d5d,3
ec883f72,-1
ecaa0ec1,33
ecdecbb3,-1
ed36ccf7,3
ed74f2f2,-1
ed98d772,3
ef135b50,3
ef26cbf6,3
f0afb749,3
f0df5ff0,3
f15e1fac,-1
f1cefba8,-1
f21745ec,-1
f25fbde4,3
f25ffba3,3
f2829549,3
f35d900a,4
f3b10344,-1
f3cdc58f,-1
f3e62deb,-1
f4081712,-1
f45f5ca7,-1
f5aa3634,-1
f5b8619d,3
f5c89df1,-1
f76d97a5,3
f823c43c,3
f83cb3f6,3
f8a8fe49,3
f8b3ba0a,3
f8be4b64,-1
f8c80d96,3
f8ff0b80,-1
f9012d9b,-1
f9a67cb5,-1
f9d67f8b,-1
fafd9572,-1
fafffa47,3
fb791726,3
fc754716,3
fcb5c309,3
fcc82909,-1
fd096ab6,-1
fd4b2b02,-1
fe9372f3,-1
fea12743,-1
feca6190,3
ff28f65a,-1
ff72ca3e,-1
ff805c23,-1
